ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,Job Level,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,Low,Female,53,High,High,Research Director,Medium,Single,11994,0,Y,No,11,Excellent,High,None,13,4,Better,12,6,2,11
24,21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,High,Male,96,High,Low,Research Scientist,Very High,Single,1232,1,Y,No,14,Excellent,Very High,None,0,6,Better,0,0,0,0
25,34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,Medium,Male,83,High,Low,Research Scientist,Low,Single,2960,2,Y,No,11,Excellent,High,None,8,2,Better,4,2,1,3
26,53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,High,Female,58,High,Very High,Manager,High,Divorced,19094,4,Y,No,11,Excellent,Very High,Low,26,3,Good,14,13,4,8
27,32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,Medium,Female,72,Low,Low,Research Scientist,Low,Single,3919,1,Y,Yes,22,Outstanding,Medium,None,10,5,Better,10,2,6,7
28,42,No,Travel_Rarely,691,Sales,8,Master,Marketing,High,Male,48,High,Medium,Sales Executive,Medium,Married,6825,0,Y,No,11,Excellent,Very High,Low,10,2,Better,9,7,4,2
29,44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,Low,Female,42,Medium,High,Healthcare Representative,Very High,Married,10248,3,Y,No,14,Excellent,Very High,Low,24,4,Better,22,6,5,17
30,46,No,Travel_Rarely,705,Sales,2,Master,Marketing,Medium,Female,83,High,Very High,Manager,Low,Single,18947,3,Y,No,12,Excellent,Very High,None,22,2,Good,2,2,2,1
31,33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,High,Male,78,High,Low,Laboratory Technician,Very High,Single,2496,4,Y,No,11,Excellent,Very High,None,7,3,Better,1,1,0,0
32,44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,Very High,Male,41,High,Medium,Healthcare Representative,Very High,Married,6465,2,Y,Yes,13,Excellent,Very High,None,9,5,Best,4,2,1,3
33,30,No,Travel_Rarely,125,Research & Development,9,College,Medical,Very High,Male,83,Medium,Low,Laboratory Technician,High,Single,2206,1,Y,No,13,Excellent,Low,None,10,5,Better,10,0,1,8
34,39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,Very High,Male,56,High,Medium,Sales Representative,Very High,Married,2086,3,Y,No,14,Excellent,High,Low,19,6,Best,1,0,0,0
35,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Medium,Male,61,High,Low,Research Scientist,Very High,Married,2293,2,Y,Yes,16,Excellent,Low,Low,6,2,Good,2,0,2,0
36,43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,Very High,Female,72,Very High,Low,Research Scientist,High,Divorced,2645,1,Y,No,12,Excellent,Very High,Medium,6,3,Good,5,3,1,4
37,50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,Low,Male,86,Medium,Low,Sales Representative,High,Married,2683,1,Y,Yes,14,Excellent,High,None,3,2,Better,3,2,0,2
38,35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,Very High,Female,97,High,Low,Sales Representative,Very High,Married,2014,1,Y,No,13,Excellent,Low,None,2,3,Better,2,2,2,2
39,36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,Medium,Female,82,Medium,Low,Research Scientist,Low,Married,3419,9,Y,Yes,14,Excellent,Very High,Low,6,3,Best,1,1,0,0
40,33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,High,Female,42,Very High,Medium,Sales Executive,Low,Married,5376,2,Y,No,19,Excellent,Low,Medium,10,3,Better,5,3,1,3
41,35,No,Travel_Rarely,464,Research & Development,4,College,Other,High,Male,75,High,Low,Laboratory Technician,Very High,Divorced,1951,1,Y,No,12,Excellent,High,Low,1,3,Better,1,0,0,0
42,27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,Very High,Female,33,High,Low,Laboratory Technician,Low,Divorced,2341,1,Y,No,13,Excellent,Very High,Low,1,6,Better,1,0,0,0
43,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,Low,Male,48,Low,Low,Laboratory Technician,High,Single,2293,1,Y,No,12,Excellent,High,None,1,2,Good,1,0,0,1
44,27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,Very High,Male,37,High,High,Sales Executive,High,Single,8726,1,Y,No,15,Excellent,Very High,None,9,0,Better,9,8,1,7
45,30,No,Travel_Frequently,721,Research & Development,1,College,Medical,High,Female,58,High,Medium,Laboratory Technician,Very High,Single,4011,1,Y,No,23,Outstanding,Very High,None,12,2,Better,12,8,3,7
46,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,Medium,Female,49,High,Very High,Research Director,High,Married,19545,1,Y,No,12,Excellent,Very High,None,23,0,Better,22,15,15,8
47,34,No,Non-Travel,1065,Sales,23,Master,Marketing,Medium,Male,72,High,Medium,Sales Executive,High,Single,4568,0,Y,No,20,Outstanding,High,None,10,2,Better,9,5,8,7
48,37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,Medium,Male,73,High,Low,Research Scientist,Medium,Married,3022,4,Y,No,21,Outstanding,Low,None,8,1,Better,1,0,0,0
49,46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,Low,Male,98,High,Medium,Sales Executive,Very High,Single,5772,4,Y,Yes,21,Outstanding,High,None,14,4,Better,9,6,0,8
50,35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,Very High,Male,36,Very High,Low,Laboratory Technician,Very High,Married,2269,1,Y,No,19,Excellent,Very High,None,1,2,Better,1,0,0,1
51,48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,Low,Male,98,Medium,High,Laboratory Technician,High,Single,5381,9,Y,Yes,13,Excellent,Very High,None,23,2,Better,1,0,0,0
52,28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,High,Male,50,High,Low,Laboratory Technician,High,Single,3441,1,Y,Yes,13,Excellent,High,None,2,3,Good,2,2,2,2
53,44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,Medium,Female,75,High,Medium,Sales Executive,Low,Divorced,5454,5,Y,Yes,21,Outstanding,High,Low,9,2,Good,4,3,1,3
54,35,No,Non-Travel,1097,Research & Development,11,College,Medical,High,Male,79,Medium,High,Healthcare Representative,Low,Married,9884,2,Y,Yes,13,Excellent,High,Low,10,3,Better,4,0,2,3
55,26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,High,Female,47,Medium,Medium,Sales Executive,Very High,Married,4157,7,Y,Yes,19,Excellent,High,Low,5,2,Good,2,2,0,0
56,33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,Low,Female,98,High,High,Research Director,Very High,Single,13458,1,Y,Yes,12,Excellent,High,None,15,1,Better,15,14,8,12
57,35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,Medium,Male,71,High,High,Sales Executive,Low,Married,9069,1,Y,No,22,Outstanding,Very High,Low,9,3,Good,9,8,1,8
58,35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,High,Female,30,High,Low,Laboratory Technician,Low,Married,4014,3,Y,Yes,15,Excellent,High,Low,4,3,Better,2,2,2,2
59,31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,Very High,Male,48,High,Medium,Laboratory Technician,Very High,Divorced,5915,3,Y,No,22,Outstanding,Very High,Low,10,3,Good,7,7,1,7
60,37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,Low,Male,51,Medium,Medium,Manufacturing Director,High,Divorced,5993,1,Y,No,18,Excellent,High,Low,7,2,Best,7,5,0,7
61,32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,Low,Male,33,High,Medium,Manufacturing Director,Very High,Married,6162,1,Y,Yes,22,Outstanding,Medium,Low,9,3,Better,9,8,7,8
62,38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,Very High,Female,50,High,Medium,Laboratory Technician,Very High,Single,2406,1,Y,No,11,Excellent,Very High,None,10,2,Better,10,3,9,9
63,50,No,Travel_Rarely,989,Research & Development,7,College,Medical,Medium,Female,43,Medium,Very High,Research Director,High,Divorced,18740,5,Y,Yes,12,Excellent,Very High,Low,29,2,Good,27,3,13,8
64,59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,Low,Female,99,High,High,Sales Executive,Low,Single,7637,7,Y,No,11,Excellent,Very High,None,28,3,Good,21,16,7,9
65,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,High,Female,59,High,High,Healthcare Representative,High,Divorced,10096,1,Y,No,13,Excellent,Medium,High,17,2,Better,17,14,12,8
66,55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,Very High,Female,33,High,Very High,Manager,High,Divorced,14756,2,Y,Yes,14,Excellent,High,High,21,2,Better,5,0,0,2
67,36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,Medium,Male,95,Medium,Medium,Manufacturing Director,Medium,Single,6499,1,Y,No,13,Excellent,High,None,6,3,Better,6,5,0,3
68,45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,Medium,Male,59,High,High,Research Scientist,Low,Divorced,9724,2,Y,No,17,Excellent,High,Low,25,2,Better,1,0,0,0
69,35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,Medium,Male,79,High,Low,Research Scientist,Low,Married,2194,4,Y,No,13,Excellent,Very High,Low,5,2,Good,3,2,1,2
70,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,Very High,Male,79,Medium,Low,Research Scientist,High,Married,3388,0,Y,Yes,17,Excellent,Low,Low,2,0,Good,1,0,0,0
71,59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,Low,Female,57,Medium,Medium,Sales Executive,High,Single,5473,7,Y,No,11,Excellent,Very High,None,20,2,Good,4,3,1,3
72,29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,High,Male,76,High,Low,Research Scientist,Medium,Married,2703,0,Y,No,23,Outstanding,Very High,Low,6,3,Better,5,4,0,4
73,31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,High,Male,87,High,Low,Research Scientist,Medium,Single,2501,1,Y,No,17,Excellent,Medium,None,1,4,Better,1,1,1,0
74,32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,Medium,Male,66,High,Medium,Research Scientist,Medium,Married,6220,1,Y,No,17,Excellent,Medium,Medium,10,3,Better,10,4,0,9
75,36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,Medium,Female,55,Very High,Low,Laboratory Technician,Very High,Married,3038,3,Y,No,12,Excellent,Medium,None,5,3,Better,1,0,0,0
76,31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,High,Female,61,High,Medium,Manufacturing Director,Very High,Single,4424,1,Y,No,23,Outstanding,Very High,None,11,2,Better,11,7,1,8
77,35,No,Travel_Rarely,776,Sales,1,Master,Marketing,High,Male,32,Medium,Medium,Sales Executive,Low,Single,4312,0,Y,No,14,Excellent,Medium,None,16,2,Better,15,13,2,8
78,45,No,Travel_Rarely,193,Research & Development,6,Master,Other,Very High,Male,52,High,High,Research Director,Low,Married,13245,4,Y,Yes,14,Excellent,Medium,None,17,3,Best,0,0,0,0
79,37,No,Travel_Rarely,397,Research & Development,7,Master,Medical,Low,Male,30,High,High,Research Director,High,Single,13664,4,Y,No,13,Excellent,Low,None,16,3,Best,5,2,0,2
80,46,No,Travel_Rarely,945,Human Resources,5,College,Medical,Medium,Male,80,High,Medium,Human Resources,Medium,Divorced,5021,8,Y,Yes,22,Outstanding,Very High,Low,16,2,Better,4,2,0,2
81,30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,Very High,Male,55,Medium,Medium,Laboratory Technician,Very High,Married,5126,1,Y,Yes,12,Excellent,High,Medium,10,1,Good,10,8,3,0
82,35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,Medium,Male,30,Medium,Low,Research Scientist,High,Single,2859,1,Y,No,18,Excellent,Low,None,6,3,Better,6,4,0,4
83,55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,Low,Male,70,High,High,Sales Executive,Very High,Married,10239,3,Y,No,14,Excellent,Very High,Low,24,4,Better,1,0,1,0
84,38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,Medium,Female,79,Low,Medium,Research Scientist,Very High,Divorced,5329,7,Y,Yes,12,Excellent,Very High,High,17,3,Better,13,11,1,9
85,34,No,Travel_Rarely,1153,Research & Development,1,College,Medical,Low,Male,94,High,Medium,Manufacturing Director,Medium,Married,4325,1,Y,No,15,Excellent,High,None,5,2,Better,5,2,1,3
86,56,No,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,Very High,Male,49,Low,High,Manufacturing Director,Very High,Single,7260,4,Y,No,11,Excellent,Low,None,37,3,Good,6,4,0,2
87,23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,High,Male,62,High,Low,Sales Representative,Low,Divorced,2322,3,Y,No,13,Excellent,High,Low,3,3,Better,0,0,0,0
88,51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,Very High,Male,96,High,Low,Laboratory Technician,Very High,Married,2075,3,Y,No,23,Outstanding,Medium,Medium,10,4,Better,4,2,0,3
89,30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,High,Male,99,Medium,Medium,Healthcare Representative,Very High,Married,4152,1,Y,No,19,Excellent,Low,High,11,3,Better,11,10,10,8
90,46,Yes,Travel_Rarely,669,Sales,9,College,Medical,High,Male,64,Medium,High,Sales Executive,Very High,Single,9619,1,Y,No,16,Excellent,Very High,None,9,3,Better,9,8,4,7
91,40,No,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,High,Male,78,Medium,Very High,Healthcare Representative,Medium,Married,13503,1,Y,No,22,Outstanding,Very High,Low,22,3,Good,22,3,11,11
92,51,No,Travel_Rarely,632,Sales,21,Master,Marketing,High,Male,71,High,Medium,Sales Executive,Very High,Single,5441,0,Y,Yes,22,Outstanding,Very High,None,11,2,Bad,10,7,1,0
93,30,No,Travel_Rarely,1334,Sales,4,College,Medical,High,Female,63,Medium,Medium,Sales Executive,Medium,Divorced,5209,1,Y,Yes,12,Excellent,Medium,High,11,4,Good,11,8,2,7
94,46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,High,Male,40,Medium,High,Healthcare Representative,Low,Married,10673,2,Y,Yes,13,Excellent,High,Low,21,5,Good,10,9,9,5
95,32,No,Travel_Rarely,1093,Sales,6,Master,Medical,Medium,Male,87,High,Medium,Sales Executive,High,Single,5010,1,Y,No,16,Excellent,Low,None,12,0,Better,11,8,5,7
96,54,No,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,Low,Female,60,High,High,Research Director,High,Married,13549,9,Y,No,12,Excellent,Low,Low,16,5,Bad,4,3,0,3
97,24,No,Travel_Rarely,1353,Sales,3,College,Other,Low,Female,33,High,Medium,Sales Executive,High,Married,4999,0,Y,No,21,Outstanding,Low,Low,4,2,Good,3,2,0,2
98,28,No,Non-Travel,120,Sales,4,Bachelor,Medical,Medium,Male,43,High,Medium,Sales Executive,High,Married,4221,1,Y,No,15,Excellent,Medium,None,5,3,Best,5,4,0,4
99,58,No,Travel_Rarely,682,Sales,10,Master,Medical,Very High,Male,37,High,Very High,Sales Executive,High,Single,13872,0,Y,No,13,Excellent,High,None,38,1,Good,37,10,1,8
100,44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,Medium,Male,67,High,Medium,Laboratory Technician,Medium,Married,2042,4,Y,No,12,Excellent,High,Low,17,3,Best,3,2,1,2
101,37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,High,Male,63,High,Low,Human Resources,Low,Divorced,2073,4,Y,Yes,22,Outstanding,Very High,None,7,3,Better,3,2,0,2
102,32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,Very High,Male,71,High,Low,Research Scientist,Low,Single,2956,1,Y,No,13,Excellent,Very High,None,1,2,Better,1,0,0,0
103,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,Very High,Female,66,Medium,Low,Laboratory Technician,Very High,Single,2926,1,Y,Yes,18,Excellent,Medium,None,1,5,Better,1,0,1,0
104,34,No,Travel_Rarely,665,Research & Development,6,Master,Other,Low,Female,41,High,Medium,Research Scientist,High,Single,4809,1,Y,No,14,Excellent,High,None,16,3,Better,16,13,2,10
105,37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,High,Male,100,Medium,Medium,Healthcare Representative,Very High,Divorced,5163,5,Y,No,14,Excellent,Very High,Low,17,2,Best,1,0,0,0
106,59,No,Non-Travel,1420,Human Resources,2,Master,Human Resources,High,Female,32,Medium,Very High,Manager,Very High,Married,18844,9,Y,No,21,Outstanding,Very High,Low,30,3,Better,3,2,2,2
107,50,No,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,Low,Female,73,High,Very High,Research Director,Medium,Married,18172,3,Y,Yes,19,Excellent,Low,None,28,1,Good,8,3,0,7
108,25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,High,Male,46,Medium,Medium,Sales Executive,High,Single,5744,1,Y,Yes,11,Excellent,Very High,None,6,1,Better,6,4,0,3
109,25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,Very High,Male,64,Medium,Low,Research Scientist,Very High,Married,2889,1,Y,No,11,Excellent,High,Medium,2,2,Better,2,2,2,1
110,22,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,Medium,Female,59,High,Low,Laboratory Technician,Very High,Single,2871,1,Y,No,15,Excellent,High,None,1,5,Better,0,0,0,0
111,51,No,Travel_Frequently,1456,Research & Development,1,Master,Medical,Low,Female,30,Medium,High,Healthcare Representative,Low,Single,7484,3,Y,No,20,Outstanding,High,None,23,1,Good,13,12,12,8
112,34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,Low,Male,66,Low,Medium,Laboratory Technician,High,Single,6074,1,Y,Yes,24,Outstanding,Very High,None,9,3,Better,9,7,0,6
113,54,No,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,Very High,Female,30,Very High,Very High,Manager,Very High,Single,17328,2,Y,Yes,12,Excellent,High,None,23,3,Better,5,3,4,4
114,24,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,Medium,Male,52,High,Low,Laboratory Technician,High,Married,2774,0,Y,No,12,Excellent,High,Low,6,2,Better,5,3,1,2
115,34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,High,Female,45,Medium,Medium,Research Scientist,Medium,Divorced,4505,6,Y,No,15,Excellent,High,Low,12,3,Better,1,0,0,0
116,37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,High,Male,87,High,High,Sales Executive,Very High,Single,7428,2,Y,No,12,Excellent,Low,None,12,3,Better,5,3,1,3
117,34,No,Travel_Rarely,1354,Research & Development,5,Bachelor,Medical,High,Female,45,Medium,High,Manager,Low,Single,11631,2,Y,No,12,Excellent,Very High,None,14,6,Better,11,10,5,8
118,36,No,Travel_Frequently,1467,Sales,11,College,Technical Degree,Medium,Female,92,High,High,Sales Executive,Very High,Married,9738,0,Y,No,14,Excellent,High,Low,10,6,Better,9,7,2,8
119,36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,Low,Female,39,High,Low,Laboratory Technician,Very High,Divorced,2835,5,Y,No,22,Outstanding,Low,Low,7,2,Better,1,0,0,0
120,43,No,Travel_Frequently,394,Sales,26,College,Life Sciences,High,Male,92,High,Very High,Manager,Very High,Married,16959,1,Y,Yes,12,Excellent,Very High,Medium,25,3,Best,25,12,4,12
121,30,No,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,Low,Male,96,Low,Low,Research Scientist,High,Divorced,2613,1,Y,No,25,Outstanding,High,High,10,2,Good,10,7,0,9
122,33,No,Non-Travel,750,Sales,22,College,Marketing,High,Male,95,High,Medium,Sales Executive,Medium,Married,6146,0,Y,No,13,Excellent,Low,Low,8,2,Best,7,7,0,7
123,56,Yes,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,Medium,Female,72,High,Low,Research Scientist,Medium,Married,4963,9,Y,Yes,18,Excellent,Low,High,7,2,Better,5,4,4,3
124,51,No,Travel_Rarely,684,Research & Development,6,Bachelor,Life Sciences,Low,Male,51,High,Very High,Research Director,High,Single,19537,7,Y,No,13,Excellent,High,None,23,5,Better,20,18,15,15
125,31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,Medium,Male,76,Low,Medium,Sales Executive,High,Married,6172,4,Y,Yes,18,Excellent,Medium,None,12,3,Good,7,7,7,7
126,26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,High,Female,46,Medium,Low,Research Scientist,Medium,Married,2368,1,Y,No,19,Excellent,High,None,5,3,Good,5,4,4,3
127,58,Yes,Travel_Rarely,147,Research & Development,23,Master,Medical,Very High,Female,94,High,High,Healthcare Representative,Very High,Married,10312,1,Y,No,12,Excellent,Very High,Low,40,3,Good,40,10,15,6
128,19,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,Very High,Male,50,High,Low,Sales Representative,High,Single,1675,1,Y,Yes,19,Excellent,Very High,None,0,2,Good,0,0,0,0
129,22,No,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,High,Male,100,High,Low,Laboratory Technician,Very High,Married,2523,0,Y,No,14,Excellent,High,Low,3,2,Better,2,1,2,1
130,49,No,Travel_Rarely,470,Research & Development,20,Master,Medical,High,Female,96,High,Medium,Manufacturing Director,Low,Married,6567,1,Y,No,14,Excellent,High,None,16,2,Good,15,11,5,11
131,43,No,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,Medium,Female,72,Very High,Low,Research Scientist,High,Single,4739,4,Y,No,12,Excellent,Very High,None,18,2,Better,3,2,1,2
132,50,No,Travel_Frequently,809,Sales,12,Bachelor,Marketing,High,Female,77,High,High,Sales Executive,Very High,Single,9208,4,Y,No,11,Excellent,Very High,None,16,3,Better,2,2,2,1
133,31,Yes,Travel_Rarely,542,Sales,20,Bachelor,Life Sciences,Medium,Female,71,Low,Medium,Sales Executive,High,Married,4559,3,Y,Yes,11,Excellent,High,Low,4,2,Better,2,2,2,2
